text,labels
usc senior rb anthoni brown call head coach steve sarkisian racist quit team bitch,1
guess also zero time mansplain adio stfu pussi,0
chill sexi scalli lad,1
share bitch mine mine,0
money impress simpl broke bitch,0
pisc never anybodi bitch let peopl control chang rigghhht,0
tuku ho idk blah blah blah,1
mad cuh hahaha suur tuku ho ita,1
hoe crazi,0
ever gonna slice bitch kevin hart,0
oomf fuckin fine tho dam bitch,0
wonder girl gave head boy drink magaluf twitter probli send nude fag,0
newsatquest yeah bitch yeah bitch call mayb b steve c later jess pinkman,0
hicki thigh right pussi gt gt gt right,0
would still love longer young beauti ugli monkey ass,0
come front bitch come,0
faggot bitch,0
yea ipad work friday let ball faggot work,0
scalli lad would get,1
gerryshalloweenparti halloween yesterday stupid nigger,0
chru still supahot tho walk teacher test drop test bitch fohead,0
love eat pussi lol never get full lol eat shit forev lol ever,0
slush hoe nasti anyway fam hoe tast like med,0
slush hoe nasti anyway fam,0
bobbi bitch get live fuck hell yea play hoe workout,0
yo bitch gucci mane bitch stoner,0
ride bitch handl bar,0
hoe get traphoussseeee,0
sad tv charact death still bitter ned stark man,1
harbor bitch parti bu hoe lol,0
pussi love,0
ultraviol video come littl bitch mtvhottest lana del rey bitchi promo,0
way fuck bitch lmfao kittycopt,0
smuggler explain help fighter along jihadi highway,1
aww avi look cute togeth gotta get ike avi bitch,0
simpl dont hoe dont worri expos fight,0
whi bitch boost size exactli healthi tho,0
bet bitch kim bye,0
damn near gotta protect tweet stalker annoy got dope dick drive bitch loco,0
make marack girlfriend aye b pullin hoe like taught,0
bruno fag boy love,0
must bitch sike naw alway beef,0
yanke look ralli bottom th rallycap,1
take advantag nice person hoe everyjuan,0
happi birthday bitch nigga thank pal,0
sad know hoe fuck bc got stack wait till friday,0
cinco shit harder fucc nigga yee fucc wit rich homi cuz dat ya homeboy fucc nicca,0
ewww said last sunday last sunday read nig,0
punch real nigga face caus pussi nigga gonna punch right back strong mush shake,0
pussi still fresh lt someth stank girl say,0
ass slap one greatest thing haha slap girl ass got mad aint get pussi week,0
yeah texan much better fuck retard see mad,0
nd wtf dark bitch blond pleas sever seat hoe look like black amp mild,0
lane bitch need stay left n get right fuck outta face,0
hate boy deni bitch smh,0
ya nig still say eat butt straight face,0
im boss ass bitch need sit corner,0
hoe,0
paul thinkin bout gettin rental da weekend oooh shit bitch betta stay da street,0
bitch hold nigga get lock nigga go colleg militari differ stori,0
friend hate ratchet hoe,0
love fuck nigga hoe,0
hot meat sexi fuck scalli lad would love meet trainer,0
sniff perv scalli lad fuck yeah,0
bitch love sosa,0
legit watch second wtf prob caus retard smh,0
name cat idea mr pussi,0
woof woof sexi thug boy scalli,0
u see damn phone ring marri bitch make demand call,0
tevin favorit sophomor think funni he realli lmaoo he littl hoe,0
sex posit naw u call fuck soul outta bitch,0
bore suppos cute faggot sometim,0
one man trash anoth man treasur,1
got type bad bitch thing like iongotnotyp,0
lassen cc coach want feel youll get nig doubt,0
god teeth gold chain white bitch cocain,0
hoe hoe shhhhh,0
c call roller chiraq call thot across america known hoe,0
gonna miss bitch bu driver lie,0
hate bitch tri put friendzon bitch tryin score put endzon soul,0
ashley young tri deni bird land mouth gt hahaha,1
yall gimp tht bitch huh lol,0
take ride redneck woof woof,1
oh god love victoria mitchel bitch love,0
long distanc shit wack knew bitch cheat uh oh,0
right bitch smh,0
ban dat pussi life amp gotta pay millon dollar fine,0
rose red violet blue nigger black know true,0
sit window sill window open bird tri fli smack protecttheanim,1
nigga gon nigga nigga sound fuckin retard,0
video entir media like mock crybabi,1
even shi stfu kiki mom hi angeliqu angeliqu smile dip cracker soup,0
tim tebow got cut everi team nfl alreadi got hoe starkvil smh,0
karma bitch damn godprotectshisangel sip tea,0
fuckin hot gym pussi fuck yeah,0
jihadi patron hajjaj al ajmi arrest kuwait airport,1
call fireman caus turn hoe,0
could never bbi lil dick tht got abort last bitch oh god,0
watch women tri argu like dick actual fuck pussi hate bitch,0
smoke weed public fuck cop man wanna run come retard,0
tweeti bird tho,1
pussi sweet like watermelon thotermelon,0
twitter rapper dm trash link,1
loud bitch annoy,0
eventu everi bitch turn hoe truuu,0
swear oomf tri talk tomorrow pussi,0
bitch pretend tf crazi never lie,0
k bye hoe um bye,0
jacki retard blondeproblem least make grill chees,0
ima keep give pussi ass nigga ah reason hate,0
photo sole heaven,1
stacey dash baddest bitch evaaaa,0
side bitch sunday,0
fact baldhead bitch made shit lmao,0
fuck wit us tweakin hoe shmurda,0
actin like th day spook,1
break lil bitch neck even feel sorri savag,0
fuck hot scalli sneakersex sockfetish sniff trainersex love kinki scalli,0
dumb ass nigga press hoe weak fuck fuck weed hoe oreo,0
turn yo bitch eaterrrrrrrrr,0
trust dese hoe nikki told st stay fan screen shot asap finna come chiraq shoot sumn,0
aye yall ima tryout bowl team frfr tryout pass tho there two retard,0
u got u want bitch enjoy crazi parti would love attend,0
color contact eye blinder mine caus see lmao,1
fact dude hoe say got hoe,0
rea start smack bitch period bluffin best,0
life bitch die that get high caus neva know gonna go sister perfect,0
one us drug still wrong hahahahahahah im bitch sometim,0
feel pretti fuckin ghetto smh,0
swear man easili easili behind austin nip,1
true ride die bitch fuck hahahahah,0
h g well charli chaplin histori photographi,1
see bruno bitch ass twitter wtf bruno see drake voic,0
cool faggot chill tf cool nigga,0
sure bitch frfr tf,0
twitter sourc news broadcast fuck retard nbc abc cnn fox etc keep quiet,0
got coupl bitch say know let money talk like wwyd,0
grudg weirdo bitch,0
told mariam cigarett birthday also call trash rn,1
browni tonight kind,1
text back give fuck text anoth bitch damn someon hurt lol,0
ummmmmm okay got hoe left right yah thang,0
use mx b find slope ass,0
fit lad nice gear scalli lad n trainer would get,1
hell yeah bro fuck yeah sexi scalli lad hot gear,0
help mate love scalli play fuck yeah,0
lad lad fuck yeah love scalli lad action hot trainer,0
next year bitch gonna like gotta promis expos,0
hot lick bitch fuck yeah eat trainer u dirti fucker,0
think celebr pussi differ local yeah meghan good,0
saw ajumma walk begin say wow trash even listen lmaoo,1
need sox fuck yeah love kinki scalli lad w rank sox sneak,0
ever expos femal like childish bitch nigga shiiii,0
yasss tri new thing bestfriend bitch love,0
dude rememb wop video omg find,1
thick raw fuck damn man pussi get workout,0
rawr sexi french scalli love frenchscal sexi scalli woof woof,1
nothin life free bitch need write ya panti,0
one bitch want burrito u catch potosino huh haha,0
nigga whole hoe cuz said better,0
hardcor way eat mac chees boil water snort chees powder drink boil water fuck bitch,0
yourenotmytyp fade perpetu fresher real ass bitch rite,0
annoy bitch love judyann pretti,0
lmao bitch got huggi,0
hi bitch bitch bye bitch,0
look like bitch,0
chase money hoe,0
stand know want ass nigga bitch,0
way love chav hot sexi scalli fucker,0
newli gay bitch kno shit work,0
bitch want real job becom stripper lol lol,0
awww meat meat feelin ainn n feel bitch,0
want snake bite industri piercin amp tattoo dem hoe accessori dea,0
babi albino,1
hoe loyal,0
yassssss order chines bitch ate taco fat fuck,0
made bitch lunch bitch love lunch,0
brainer soon bitch get rich polit power view chang polit whore,0
pussi day keep devil away,0
bitch mean,0
bitch want babi want children,0
bitch must lost,0
babi like left side bitch cuz street side twitter said real,0
bae sound like ghetto word use someth els,1
batter wee cunt jewi co fuck ex emma isnt batter girl nail ive move stop pussi n urself,0
bleed hoe alexa,0
boolin bando wit bitch,0
browni browni love movi,1
need bad bitch hotter might realist shit partynextdoor ever said feelin everyday,0
way punch bitch,0
caesar home there much bitch look like let start ape shit,0
chines maverick commun comrad u know give imperialist yank birdi,1
dad say hi snapchat dad duce bitch,0
believ hoe fact loyal disagre believ fact loyalest bunch hoe,0
know ugli bitch know broke nigga,0
make make fall live nigga like meee bird amp favorit song weeknd,0
worri nigga see worri nigga see dat da nigga fuckin yo bitch,0
ever give pussi away keep tight alright,0
drop stack caus bitch song call dope download mixtap,0
dumb bitch dumb thing,0
eat pussi like real nigga hungri,0
eff let go crippl,0
everyth look better bitch next,0
facto care hoe ass look like,0
everi bad bitch nigga tire fuck,0
foreign chick lie man bitch beauti,0
fresh nigga kno need clean bitch kno work cuz wanna see team rich,0
fuck make rule suck dragon ball bitch call goku,0
gener ascii box nodej see abil bring flappi bird node via ascii tube bird,1
get shit bitch fine bear,0
get ass back detroit ya fuckin wigger,0
girl date okay mad yo unless stab heart love hoe,0
know twitter password bitch pleas,0
seen show seen hoe hot would thick,0
bitch hit hoe,0
marri white woman lucki sum bitch uncl rucku,0
wanna nigga trinna save account omg imma funni ass bitch man real shit,0
great grandma hoe grandma hoe mom hoe hoe long line hoe grandpa carl everyon,0
hey go look video man found kidnap girl ohio nigger shitmybosssay,0
hey pussi still,0
draft gung ho folk send afghanistan war zone show,1
hotter bitch,0
u talk hoe bout bro n em talk hoe bout bro n em,0
crazi bitch hilari,0
know shoe dirti fuck whatev bitch call like negro one first thing look shoe dog,0
thrill billi hillbilli heart hahahahaha jesu murphi,1
call bitch,0
handl liquor bitch handl meeedd chief sosa,0
chase dude chase bitch edgar bautista,0
love hoe babi forev,0
dont even need pictur tamar bitch beat everi pictur,0
dont hoe,0
found new way chug open mouth alot shitallysay,1
fuck hate bitch much wanna smack face tongu kiss,0
got bitch set like jada picket queen latifah ride round niec bitch titi,0
got sister told stop call women bitch,0
guess night bitch die stewi nigga,0
bitch bitch bitch eat halibut freshrhym jerksquad slowstir,0
ladi love marri still wanna bang sex bitch troubadour probabl,0
heard look candi man bitch,0
hope get mad ladi call bitch bitch bc know name individu katt william,0
got number bitch boy,0
know shit eatin grin either fuck girl dream sold car know faggot sell,0
older men caus matur suppos fool us bitch,0
prolli leav bitch cup hand yo hand hand,0
said like tast like wolf pussi even know tast like,0
taught eat pussi cut hair taught eat pussi hair name movi,0
use dress like cop oh realli yeah right mad pussi realli ye never forget,0
went jail flock amp came home wit strike went jail bitch came home dike,0
fuck u u stand u dizzi bitch two uniqu amp separ phrase overheard rel say younger,0
woke like thi bitch go back bed,0
would rather call bitch sir manag,0
beat pussi hard,0
slit throat neck,1
funki ass honkey shout tonight cabaret jt tour,0
compar kfc pussi,0
download new person order new face bitch love goddamn axl rose yell sex robot,0
feelin like malcolm middl bitch surround miss em,0
gonna piss dimpl stop wast prayer trash team lol,0
probabl main bitch chocol dip cinnamon appl,0
sick shit man sit bitch ass fed bro geno threw yet anoth pick smh,0
sorri fuck yo bitch realli dig nigga,0
ib irrit bitch syndrom,0
love hide yo bitch keep shorti,0
talk back get pussi,0
bad bitch put hand high everi girl room start wave hand around,0
imma tie bitch basement donkey fuck ass two week straight hahahahahahahahaha centmovi beforeiselfdestruct,0
mind gotta dumb hoe anthem,0
albino mexican dad asian,1
take true direction accept larri know bitch fan like make boy cri thankyoupaulforconfirminglarri,0
alleg u bedroom u see word naiv amp blind bitch know ur husband cheat u ramona dumb,0
never late tag bitch,0
dyke hunter dyke dyke,0
julia robert ho nottinghil,0
follow yellow brick twitter,1
lmfaoooooooooooooooooo pussi good mama like guess gotta go mama,0
lol crippl wendi davi scientist creat remot control chick studi shi penguin,1
let nip ahoy spank mayb,0
let kill cracker babi wtf hear wow,0
like correct wrong pimpin involv smackin bitch money,0
lmao pound cake look like pussi,0
lmao rose adida lighter phone shit retard,0
mam ren e doet haar rol net ze ongesteld wat ongesteld van dat soort vragen waar je denkt hoe leg ik die weer uit,1
mayb want friend mayb stupid bitch never know make cum,0
mine play dmx kirk franklin smh well neighbor ghetto get like beat kid,1
grandma use call porch monkey time come think refer broken bottl nigger knife,0
momma told tell mind yoooo damn motha fuckin busi knowin bitch,0
nip freeeeez okay slice bra,0
twitter hack pussi admit said want act like never said,0
nah girl gon abl make tight sinc russ loss job back like damn bitch realli,0
nah yo thought photoshop face faggot smmfh hate yall,0
new flame song yr lol bitch super run like,0
nigga alway yell fuck bitch get money meanwhil broke still want bitch,0
nigga press pussi eeeeeen nothin,0
bitch nan,0
boat hoe pleas thank mom,0
ovo amp kendrick lamar still trash,1
top pregnant ass sorri hoe aint never got money even water broke riptallt,0
coupl red sox gotten past first base die laugh mayb yank need teach game,1
peopl time aryan race stand say mongerl turn world ghetto slum,0
pistol whip dickau shoot yo bitch club sometim freestyl freestyl okay,0
pleas thank pierc pussi come across timelin,0
remi machiavelli send shot ya belli bitch,0
roberto one nasti hoe,0
sorri jb fan realli justin come back top comment justin timberlak video million view son fuck bitch,0
search incred stori white man quest find ingredi necessari make caribbean jerk chicken redneck land,0
sell soul materi wish fast car bitch tupac smile remix,0
shake bear aka two redneck sex dead bear,0
shall compar thee summer day summer day bitch,0
gotta shape pussi lip tho whole wheat organ pussi,0
said wigga man rich take du rag,0
bitch anyway,0
florida got sniff test swamp pussi,0
slow fuck bitch know live classi young ladi,0
good footbal player still act like nig,0
stop pussi son shove needl heart afterearth,0
stop look us go eat pussi yuppi fuck,0
takin straight dirt finger pussi know put dick,0
bro move hoe move,0
girl plain look borderlin ugli amp chunki hey least got nice smile amp great person,0
devil grow insid heart selfish wick white brown yellow black color restrict,1
water yellow healthi student,1
hoe loyal,0
hoe keep callin pickin,0
sour appl bitter bitch fuckin wit em,0
faggot oriol petti fuck got swept outta bitch,0
ghetto ass band get snuck,0
divis trash saint gon win nfc south watch,1
fan wait bitch nigga hate old hoe date look mama,0
ghetto motherfuck missi elliott,0
recip call leftov browni hell leftov browni browni eaten yet,1
ratchet broad repres white ass talk trash caus racist shit black,0
trust noneee bitch,0
twitter twitter bitch twitter life,0
two road diverg yellow wood chose one j tunheimr robert frost giant,1
u got k bitch nigga al haymon antonio tarver,0
uh uh empti heart empti bottl yellow cab would like catch cuz yo latest ex made u mad,0
use girlfriend got hoe lookin good girl fuckin low,0
virgin pussi regular pussi oomf pussi,0
whaaaaaat lmaooo luv u fat bitch cuz got big ole titti phat booti,0
walk bitch like nigga made,0
hate nigger hate faggot hate spic kkk ralli,0
queer hut like butt,0
well bitch biolog said,0
gotta report spam ladi head game better pussi,0
im done hoe pass squad g,0
fuck callin jiggaboo nigga,0
peopl think gay marriag okay beyond sorri want futur son see fag walk street hold hand,0
u littl bitch chri six bitch allison mom,0
would want play pussi dead snl,0
would wanna green ranger evil duh bitch,0
would want pussi side burn that good question hahahahaha,0
shank bitch cevich,0
work get rough day hahaha hoe,0
wow bitch ye alreadi establish anyth els say,0
forget brand new babi girl home bitch cooki burn,0
yah said word mtzra ym egyptian peopl ysrah al inherit kushit ethiopian,1
yaoooooooo mawnin yardi,1
yo bitch horn tryna shoot porn shirt worthi toni,0
yo sublet pussi shitfahdsay,0
yo feet smell like puss whut like flower bitch omg,0
yo mama bitch one sentenc end relationship,0
gunna shit spear chucker,0
bitch favorit respons long text,0
yo boy pussi cat,0
cunt,0
pull pussi dodg collect panti alright stormi jake,0
take someon ghetto take ghetto,0
like us color folk color white fuck,0
got hella hoe,0
hit light line toco bell morn diana back hous miracl charli,1
look cute today realli helll swerv hoe,0
look like littl bird help get dress morn,1
ol trout mouth ass bitch deeeeaaaadd,0
talk like fag shit retard cool scro lot tard live total kick ass live,0
took land could make retard diaper sure use imag cool redskin nfl concuss joke,0
garden rose bitch weed,0
fuck shit dumb ass cunt go post pictur flat ass titti ig slut,0
queer,0
homeboy look bad give cash hoe,0
teeth like star aww thank yeah yellow far away,1
yup fuck em play like trash clipper wanna play lol,0
time hoe get lol ariana mom say us,0
bitch,0
ayo even kill handicap crippl bitch look scalp real close see tripl six,0
bitch freak shit,0
bitch vagina littl resili,0
love nah bitch love,0
pussi root drama attribut put head mama,0
call keyshawn johnson caus im catchin erri hoe,0
captain save hoe annoy phrase,0
day judgement everybodi gonna look big jumbotron watch fuck majjinn buu bitch,0
let side bitch settl might headbutt evelyn,0
dont show bitch unless look like dolli parton,0
fuck pussi ass hater go suck dick die quick someon youtub comment think good friend,0
hick raver venn diagram larg intersect,1
hoe suck dick cu look like john stockton hit em wit choppa luke fatherrr,0
wasnt work place id deck aye fuck right give tyson combo nd end uppercut shut fuck bitch,0
suck dick dip keeper true redneck woman kim dad,0
im gonna rip bitch apart rip apart lol,0
britney bitch bibl leviticu,0
nigga bitch bitch ass nigga dike ass hoe black ass bright ass hoe fag tag scalli wag,0
pussi tryna go studio call mufuckin crib like god yo word god buss yo shit god word,0
oh ya hoe think cute skin tight cat suit assum bodi boomin disput,0
omg bitch fuck stupid swear blah blah blah week later omg ilysm bae ur best friend swear,0
way fuck bitch name lord mr race,0
poor whitey,0
ride bro still trust hoe,0
weekend go fabul naa man see nae cunt ko second flat hate u fuckgm,0
whatev good one abraham lincoln quot yall hoe,0
guy say latina gt mean kim kardashian look girl bitch shape like mini fridg amp smell like tortilla,0
rapper say twat make feel weird,1
better pipe pussi lmao wth even mean,0
fuck pussi even beat dick angri youtub comment,0
cunt right,0
son bitch moment rain forget car window,0
thingsthatgetsonmynerv needi hoe ratchet hoe sidelin hoe beggin hoe dumb hoe look love facebook hoe,0
get hit bitch campu want,0
personidbitchslap fa blowin tl like bitch spare tire leavin dairi queen,0
fave snoop justin much fun charli wilson tribut betaward,1
taughtm pussi feel,0
wordsaftersex pussi bitch,0
azmonsoon lot rain bad enough wash away teabagg racist white trash state tcot teaparti azflood,0
alexfromtarget get million retweet chrisfromwalmart cant even get bitch text back,0
alexfromtarget bitch wet lmmfao,0
anncoult still call obama commun organ syria well still cunt well,0
asagiraff pussi,0
askdem embarrass charli rangel remain caucu,1
bob bass bitch bitch dick fish dock,0
break ap call mass governor race charli baker watch live coverag wcvb stream onlin,1
bangbangbirdgang ya bitch fruit loop,0
bartend becom real bitch bartend way way taller bar design holi back pain,0
bestsongtohavesexto bitch love sosa bangbang,0
bigbird made gay coupl ye gop world bird would exist sinc creator would jail sodomi,1
bitchslapthursday nite pure passion door open watch game bitch,0
blessjesu amo two walk togeth except agre,1
blessjesu amo hate one uphold justic court detest one tell truth,1
blessjesu crown head sole feet,1
blessjesusair matthew look bird air yet heavenli father feed much valuabl,1
blessjesuslov happi belat sixti fifth birthday aunt mari agn strong,1
bout gocrazi aintnolevelz disshit hungrier phat ho diet ig,0
burnnotic fi shoot bean bag round guy hurt like bitch,0
california full white trash,0
california full white trash move oklahoma,0
celebrityleakedphoto yeah gt know feel know nsa phone quit whine like muslim bitch,0
christianbal kiss mose ass fight god otherwis might fuck dead gt retard ass actor faggot,0
commonquestioniget uou ghetto,1
cowboy bitch cowboysn anoth great win ilov team,0
crack whip cracker,0
dtla trash non european allow live,0
duh possibl tuck peni bitch got man boob,0
